DATA INICIAL,DATA FINAL,REGIAO,ESTADO,PRODUTO,NUMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PREÇO MEDIO REVENDA,DESVIO PADRAO REVENDA,PRECO MINIMO REVENDA,PRECO MAXIMO REVENDA,MARGEM MEDIA REVENDA,COEF DE VARIACAO REVENDA,PRECO MEDIO DISTRIBUICAO,DESVIO PADRAO DISTRIBUICAO,PREÇO MINIMO DISTRIBUICAO,PRECO MAXIMO DISTRIBUICAO,COEF DE VARIACAO DISTRIBUICAO
27/01/2013,02/02/2013,NORDESTE,PIAUI,OLEO DIESEL,94,R$/l,2.156,0.070,2.000,2.299,0.179,0.032,1.977,0.031,1.905,2.047,0.016
27/01/2013,02/02/2013,SUDESTE,RIO DE JANEIRO,OLEO DIESEL,568,R$/l,2.127,0.094,1.899,2.499,0.243,0.044,1.884,0.054,1.790,2.157,0.029
27/01/2013,02/02/2013,NORDESTE,RIO GRANDE DO NORTE,OLEO DIESEL,110,R$/l,2.117,0.032,2.050,2.190,0.215,0.015,1.902,0.047,1.800,1.993,0.025
27/01/2013,02/02/2013,SUL,RIO GRANDE DO SUL,OLEO DIESEL,389,R$/l,2.199,0.080,1.989,2.499,0.289,0.036,1.910,0.050,1.792,2.099,0.026
27/01/2013,02/02/2013,NORTE,RONDONIA,OLEO DIESEL,100,R$/l,2.336,0.086,2.110,2.550,0.293,0.037,2.043,0.039,2.002,2.143,0.019
27/01/2013,02/02/2013,NORTE,RORAIMA,OLEO DIESEL,34,R$/l,2.461,0.054,2.420,2.700,0.419,0.022,2.042,0.059,1.980,2.203,0.029
27/01/2013,02/02/2013,SUL,SANTA CATARINA,OLEO DIESEL,289,R$/l,2.179,0.082,1.949,2.419,0.243,0.038,1.936,0.065,1.830,2.136,0.034
27/01/2013,02/02/2013,SUDESTE,SAO PAULO,OLEO DIESEL,1732,R$/l,2.111,0.074,1.890,2.490,0.245,0.035,1.866,0.047,1.751,2.034,0.025
27/01/2013,02/02/2013,NORDESTE,SERGIPE,OLEO DIESEL,40,R$/l,2.179,0.070,2.039,2.299,0.200,0.032,1.979,0.030,1.888,2.012,0.015
27/01/2013,02/02/2013,NORTE,TOCANTINS,OLEO DIESEL,61,R$/l,2.116,0.050,1.990,2.220,0.227,0.024,1.889,0.042,1.800,1.960,0.022
27/01/2013,02/02/2013,NORTE,ACRE,OLEO DIESEL S10,1,R$/l,2.750,0.000,2.750,2.750,0,0.000,0,0,0,0,0
27/01/2013,02/02/2013,NORDESTE,ALAGOAS,OLEO DIESEL S10,14,R$/l,2.233,0.058,2.119,2.299,0.230,0.026,2.003,0.020,1.968,2.033,0.010
27/01/2013,02/02/2013,NORTE,AMAPA,OLEO DIESEL S10,2,R$/l,2.407,0.163,2.390,2.620,0,0.068,0,0,0,0,0
27/01/2013,02/02/2013,NORTE,AMAZONAS,OLEO DIESEL S10,18,R$/l,2.311,0.076,2.250,2.500,0.218,0.033,2.093,0.034,2.040,2.166,0.016
27/01/2013,02/02/2013,NORDESTE,BAHIA,OLEO DIESEL S10,57,R$/l,2.225,0.098,2.069,2.459,0.241,0.044,1.984,0.061,1.889,2.134,0.031
27/01/2013,02/02/2013,NORDESTE,CEARA,OLEO DIESEL S10,116,R$/l,2.175,0.063,2.070,2.490,0.180,0.029,1.995,0.027,1.953,2.088,0.014
27/01/2013,02/02/2013,CENTRO OESTE,DISTRITO FEDERAL,OLEO DIESEL S10,5,R$/l,2.370,0.045,2.290,2.390,0.322,0.019,2.048,0.063,1.979,2.101,0.031
27/01/2013,02/02/2013,SUDESTE,ESPIRITO SANTO,OLEO DIESEL S10,9,R$/l,2.341,0.057,2.180,2.390,0.361,0.024,1.980,0.026,1.955,1.992,0.013
27/01/2013,02/02/2013,CENTRO OESTE,GOIAS,OLEO DIESEL S10,28,R$/l,2.339,0.062,2.250,2.489,0.219,0.027,2.120,0.077,1.940,2.212,0.036
27/01/2013,02/02/2013,NORDESTE,MARANHAO,OLEO DIESEL S10,12,R$/l,2.208,0.091,2.099,2.359,0.174,0.041,2.034,0.031,1.998,2.064,0.015
27/01/2013,02/02/2013,CENTRO OESTE,MATO GROSSO,OLEO DIESEL S10,22,R$/l,2.543,0.142,2.420,2.950,0.282,0.056,2.261,0.131,2.042,2.470,0.058
27/01/2013,02/02/2013,CENTRO OESTE,MATO GROSSO DO SUL,OLEO DIESEL S10,32,R$/l,2.444,0.094,2.349,2.740,0.263,0.038,2.181,0.046,2.031,2.235,0.021
27/01/2013,02/02/2013,SUDESTE,MINAS GERAIS,OLEO DIESEL S10,129,R$/l,2.288,0.075,2.159,2.530,0.218,0.033,2.070,0.060,1.919,2.246,0.029
27/01/2013,02/02/2013,NORTE,PARA,OLEO DIESEL S10,72,R$/l,2.295,0.146,2.090,2.740,0.210,0.064,2.085,0.067,1.997,2.326,0.032
27/01/2013,02/02/2013,NORDESTE,PARAIBA,OLEO DIESEL S10,13,R$/l,2.208,0.048,2.120,2.299,0.250,0.022,1.958,0.029,1.913,2.013,0.015
27/01/2013,02/02/2013,SUL,PARANA,OLEO DIESEL S10,94,R$/l,2.203,0.078,2.089,2.403,0.238,0.035,1.965,0.054,1.890,2.093,0.027
27/01/2013,02/02/2013,NORDESTE,PERNAMBUCO,OLEO DIESEL S10,169,R$/l,2.169,0.054,2.040,2.400,0.206,0.025,1.963,0.038,1.897,2.083,0.019
27/01/2013,02/02/2013,NORDESTE,PIAUI,OLEO DIESEL S10,14,R$/l,2.239,0.063,2.140,2.379,0.287,0.028,1.952,0.030,1.945,2.018,0.015
27/01/2013,02/02/2013,SUDESTE,RIO DE JANEIRO,OLEO DIESEL S10,70,R$/l,2.255,0.081,2.079,2.419,0.269,0.036,1.986,0.039,1.924,2.055,0.020
27/01/2013,02/02/2013,NORDESTE,RIO GRANDE DO NORTE,OLEO DIESEL S10,23,R$/l,2.292,0.052,2.180,2.360,0.270,0.023,2.022,0.055,1.874,2.060,0.027
27/01/2013,02/02/2013,SUL,RIO GRANDE DO SUL,OLEO DIESEL S10,96,R$/l,2.321,0.082,2.140,2.530,0.298,0.035,2.023,0.039,1.955,2.150,0.019
27/01/2013,02/02/2013,NORTE,RONDONIA,OLEO DIESEL S10,11,R$/l,2.543,0.068,2.400,2.590,0,0.027,0,0,0,0,0
27/01/2013,02/02/2013,NORTE,RORAIMA,OLEO DIESEL S10,7,R$/l,2.488,0.011,2.480,2.500,0.380,0.004,2.108,0.005,2.100,2.115,0.002
27/01/2013,02/02/2013,SUL,SANTA CATARINA,OLEO DIESEL S10,86,R$/l,2.274,0.074,2.129,2.499,0.260,0.033,2.014,0.051,1.920,2.122,0.025
27/01/2013,02/02/2013,SUDESTE,SAO PAULO,OLEO DIESEL S10,349,R$/l,2.243,0.079,1.999,2.600,0.284,0.035,1.959,0.050,1.849,2.118,0.026
27/01/2013,02/02/2013,NORDESTE,SERGIPE,OLEO DIESEL S10,12,R$/l,2.264,0.070,2.119,2.389,0.213,0.031,2.051,0.052,1.989,2.121,0.025
27/01/2013,02/02/2013,NORTE,TOCANTINS,OLEO DIESEL S10,5,R$/l,2.186,0.097,2.140,2.380,0,0.044,0,0,0,0,0
03/02/2013,09/02/2013,NORTE,ACRE,ETANOL HIDRATADO,30,R$/l,2.624,0.121,2.490,3.120,0.440,0.046,2.184,0.087,2.037,2.326,0.040
